title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status
Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",,2021,IEEE Digital Library,36-46,,"Microservices are one of the most recommended architectural styles for distributed applications that support independent development and deployment, enable rapid release, and are highly scalable and polyglot. Many well-established patterns and best practices have been documented in the literature. As there are many such guidances, they have numerous interdependencies, and system designs must adhere to many other architecture constraints, too, implementations do not always conform to those guidances. In complex or large systems, it can be hard and tedious to spot violations. Our work aims to offer automated support for architecting during the continuous evolution of microservice-based systems. More specifically we aim to provide the foundations for an automated approach for architecture reconstruction, assessing conformance to patterns and practices specific for microservice architectures, and detect possible violations. Based on this, we provide actionable options to architects for improving architecture conformance as part of a continuous feedback loop. That is, our goal is to support architecting in the context of continuous delivery practices, where architecture violations are continuously analyzed and fix options are continuously suggested.",,10.1109/ICSA51549.2021.00012,,,,Feedback loop;Software architecture;Conferences;Computer architecture;System analysis and design;Best practices;Microservices;patterns;best practices;continuous architecture improvement;feedback loop,,,,,,Duplicated
"On the Move to Meaningful Internet Systems, OTM 2012 - Confederated International Conferences: CoopIS, DOA-SVI, and ODBASE 2012, Proceedings",,Lecture Notes in Computer Science,2012,Scopus,,7566 LNCS,The proceedings contain 60 papers. The topics discussed include: process and data: two sides of the same coin?; configurable declare: designing customizable flexible process models; efficacy-aware business process modeling; automated resource assignment in BPMN models using RACI matrices; hierarchical process verification in a semi-trusted environment; indexing process model flow dependencies for similarity search; a framework for cost-aware cloud data management; event-driven actors for supporting flexibility and scalability in service-based integration architecture; consistency in scalable systems; goal-oriented opportunistic sensor clouds; operations over lightweight ontologies; evaluating ontology matchers using arbitrary ontologies and human generated heterogeneities; making data meaningful: the business intelligence model and its formal semantics in description logics; and a non-intrusive movie recommendation system.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872825756&partnerID=40&md5=c603b8efd68dc5cf0210e494adbbcb5e,,,,,,,Cited by: 0,,Duplicated
I Will Survive: An Event-driven Conformance Checking Approach Over Process Streams,"Raun, Kristo and Tommasini, Riccardo and Awad, Ahmed",,2023,ACM Digital Library,49–60,,"Online conformance checking deals with finding discrepancies between real-life and modeled behavior on data streams. The current state-of-the-art output of online conformance checking is a prefix-alignment, which is used for pinpointing the exact deviations in terms of the trace and the model while accommodating a trace's unknown termination in an online setting. Current methods for producing prefix-alignments are computationally expensive and hinder the applicability in real-life settings.This paper introduces a new approximate algorithm - I Will Survive (IWS). The algorithm utilizes the trie data structure to improve the calculation speed, while remaining memory-efficient. Comparative analysis on real-life and synthetic datasets shows that the IWS algorithm can achieve an order of magnitude faster execution time while having a smaller error cost, compared to the current state of the art. In extreme cases, the IWS finds prefix-alignments roughly three orders of magnitude faster than previous approximate methods. The IWS algorithm includes a discounted decay time setting for more efficient memory usage and a look-ahead limit for improving computation time. Finally, the algorithm is stress tested for performance using a simulation of high-traffic event streams.",,10.1145/3583678.3596887,https://doi.org/10.1145/3583678.3596887,,,"online conformance checking, event-based business process management, prefix-alignments, data streams",Association for Computing Machinery,,,,,Duplicated
Detection Strategies for Microservice Security Tactics,"Zdun, Uwe and Queval, Pierre-Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelić, Marjan and Jovanović, Aleksandar",IEEE Transactions on Dependable and Secure Computing,2024,IEEE Digital Library,1257-1273,21,"Microservice architectures are widely used today to implement distributed systems. Securing microservice architectures is challenging because of their polyglot nature, continuous evolution, and various security concerns relevant to such architectures. This article proposes a novel, model-based approach providing detection strategies to address the automated detection of security tactics (or patterns and best practices) in a given microservice architecture decomposition model. Our novel detection strategies are metrics-based rules that decide conformance to a security recommendation based on a statistical predictor. The proposed approach models this recommendation using Architectural Design Decisions (ADDs). We apply our approach for four different security-related ADDs on access management, traffic control, and avoiding plaintext sensitive data in the context of microservice systems. We then apply our approach to a model data set of 10 open-source microservice systems and 20 variants of those systems. Our results are detection strategies showing a very low bias, a very high correlation, and a low prediction error in our model data set.",,10.1109/TDSC.2023.3276487,,,,Security;Microservice architectures;Measurement;Authorization;Data models;Computer architecture;Codes;Conformance checking;detection strategies;metrics;microservice architecture security;microservices,,1941-0018,,,,Duplicated
DOMICO: Checking conformance between domain models and implementations,"Zhong, Chenxing and Zhang, He and Huang, Huang and Chen, Zhikun and Li,
Chao and Liu, Xiaodong and Li, Shanshan",SOFTWARE-PRACTICE \& EXPERIENCE,2024,ISI Web of Science,595-616,54,"As a predominant design method for microsservices architecture (MSA),
domain-driven design (DDD) utilizes a series of standard patterns in
both models and implementations to effectively support the design of
architectural elements. However, an implementation may deviate from its
original domain model that uses certain patterns. The deviation between
a domain model and its implementation is a type of architectural drift,
which needs to be detected promptly. This paper proposes an approach,
namely DOMICO, to check the conformance between the domain model and its
implementation, by which the conformance is formalized by defining eight
common structural patterns of domain modeling and their representations
in both models and the corresponding source code. Based on the
formalization, our approach can not only identify the discrepancies
(e.g., divergence, absence, and modification) with respect to pattern
elements, but also detect possible violations of 24 compliance rules
imposed by the patterns. To validate DOMICO, we performed a case study
to investigate its use in a supply chain project and its performance.
The results show that DOMICO can accurately identify 100\% inconsistency
issues in the cases examined. As the first conformance checking approach
for DDD, DOMICO can be integrated into the regular domain modeling
process and help ensure the conformity of microservice implementations
to models.",Article,10.1002/spe.3272,,"Li, SS (Corresponding Author), Nanjing Univ, State Key Lab Novel Software Technol, Nanjing, Jiangsu, Peoples R China.
Zhong, Chenxing; Zhang, He; Chen, Zhikun; Li, Chao; Liu, Xiaodong; Li, Shanshan, Nanjing Univ, Software Inst, Nanjing, Jiangsu, Peoples R China.
Zhong, Chenxing; Zhang, He; Chen, Zhikun; Li, Chao; Liu, Xiaodong; Li, Shanshan, Nanjing Univ, State Key Lab Novel Software Technol, Nanjing, Jiangsu, Peoples R China.
Huang, Huang, State Grid Nanjng Power Supply Co, Nanjing, Jiangsu, Pe",,"architectural drift; architecture conformance checking; code
implementation; domain model; domain-driven design; microservices
architecture",WILEY,0038-0644,English,,,Duplicated
Constructing a service process model based on distributed tracing for conformance checking of microservices,"Sakai, Masaru and Takahashi, Kensuke",,2022,IEEE Digital Library,1-6,,"In recent years, microservices architectures have become widespread, where services are divided into smaller pieces, communicate with each other, and operate in chains. Distributed tracing, which tracks the processing of user requests, is used to analyze and visualize microservices. In this paper, the trace data obtained from the distributed tracing is divided based on the parent-child relationship and converted into an event log. In addition, process discovery is performed on each of the split event logs to estimate the relationships between microservice processes. Then, generate a normal Petri net model that can reproduce each event log. Finally, the test trace data is used to verify the suitability of the Petri net model. We constructed a service model for two sample microservices with different scales and distributed tracing implementations and demonstrated the proposed method's feasibility through conformance checking using test trace data.",,10.1109/NOMS54207.2022.9789804,,,,Analytical models;Petri nets;Buildings;Microservice architectures;Distributed databases;Data visualization;Data models;Distributed Tracing;Process Model;Process Mining;Petri nets;Conformance Checking,,2374-9709,,,,Duplicated
"Constructing a service process model based on distributed tracing for
conformance checking of microservices","Sakai, Masaru and Takahashi, Kensuke",,2022,ISI Web of Science,,,"In recent years, microservices architectures have become widespread,
where services are divided into smaller pieces, communicate with each
other, and operate in chains. Distributed tracing, which tracks the
processing of user requests, is used to analyze and visualize
microservices. In this paper, the trace data obtained from the
distributed tracing is divided based on the parent-child relationship
and converted into an event log. In addition, process discovery is
performed on each of the split event logs to estimate the relationships
between microservice processes. Then, generate a normal Petri net model
that can reproduce each event log. Finally, the test trace data is used
to verify the suitability of the Petri net model. We constructed a
service model for two sample microservices with different scales and
distributed tracing implementations and demonstrated the proposed
method's feasibility through conformance checking using test trace data.",Proceedings Paper,10.1109/NOMS54207.2022.9789804,,"Sakai, M (Corresponding Author), NTT Corp, NTT Network Innovat Ctr, Tokyo, Japan.
Sakai, Masaru; Takahashi, Kensuke, NTT Corp, NTT Network Innovat Ctr, Tokyo, Japan.",,"Distributed Tracing; Process Model; Process Mining; Petri nets;
Conformance Checking",IEEE,1542-1201,English,"IEEE/IFIP Network Operations and Management Symposium, ELECTR NETWORK,
APR 25-29, 2022",,Duplicated
Assessing Architecture Conformance to Coupling-Related Patterns and Practices in Microservices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",,2020,ACM Digital Library,3–20,,"Microservices are the go-to architectural style for building applications that are polyglot, support high scalability, independent development and deployment, and are rapidly adaptable to changes. Among the core tenets for a successful microservice architecture is high independence of the individual microservices, i.e. loose coupling. A number of patterns and best practices are well-established in the literature, but most actual microservice-based systems do not, as a whole or in part, conform to them. Assessing this conformance manually is not realistically possible for large-scale systems. This study aims to provide the foundations for an automated approach for assessing conformance to coupling-related patterns and practices specific for microservice architectures. We propose a model-based assessment based on generic, technology-independent metrics, connected to typical design decisions encountered in microservice architectures. We demonstrate and assess the validity and appropriateness of these metrics by performing an assessment of the conformance of real-world systems to patterns through statistical methods.",,10.1007/978-3-030-58923-3_1,https://doi.org/10.1007/978-3-030-58923-3_1,,,,Springer-Verlag,,,,,Duplicated
Automatic Reference Architecture Conformance Checking for SOA-Based Software Systems,"Weinreich, Rainer and Buchgeher, Georg",,2014,ACM Digital Library,95–104,,"Company-wide reference architectures are an important means for standardization and reuse. Standardization is enforced through reference architecture conformance checking. Manual conformance checking is too time- and resource-intensive to be performed continuously for the various systems that are part of a SOA. We present an approach for automatic reference architecture conformance checking of SOA-based software systems. Reference architectures are defined based on rules consisting of roles and of constraints on roles and role relationships. By mapping the roles to the elements of a software architecture representation, reference architecture specifications are reusable for different software systems. Through automating the whole checking process, including architecture extraction, role mapping, and rule evaluation, the approach can be applied continuously for the different systems that are part of a SOA. The approach has been developed and refined by applying it to a SOA in the banking domain. During its evolution from semi-automatic to a fully automatic approach it has also changed the way of how architecture information is provided as part of the system implementation in this domain.",,10.1109/WICSA.2014.22,https://doi.org/10.1109/WICSA.2014.22,,,"conformance checking, reference architecture, service-oriented architecture (SOA), software architecture",IEEE Computer Society,,,,,Duplicated
Assessing Architecture Conformance to Security-Related Practices in Infrastructure as Code Based Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",,2022,IEEE Digital Library,123-133,,"Infrastructure as Code (IaC) enables developers and operations teams to automatically deploy and manage an IT infrastructure via software. Among other uses, IaC is widely used in the context of continuously released deployments such as those of microservice and other cloud-based systems. Although IaC-based deployments have been utilized by many companies, there are no approaches on checking their conformance to architectural aspects yet. In this paper, we focus on security-related practices including observability, access control, and traffic control in IaC-based deployments. While best practices for this topic have been documented in some gray literature sources such as practitioners’ blogs and public repositories, approaches enabling automated checking of conformance to such best practices do not yet exist. We propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions on IaC-based deployments. With this approach, we can measure conformance to security-related practices. We demonstrate and assess the validity and appropriateness of these metrics in assessing a system’s conformance to practices through regression analysis.",,10.1109/SCC55611.2022.00029,,,,Measurement;Codes;Service computing;Microservice architectures;Computer architecture;Traffic control;Software;Infrastructure as code;metrics;software architecture;modeling;best practices,,2474-2473,,,,Duplicated
