bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,status,comments
,Video transcoder architectures for networked multimedia applications,"Youn, Jeongnam and Sun, Ming-Ting",,2000,ACM Digital Library,,,"For the deployment of multimedia services over heterogeneous networks, it is very desirable that a video delivery system be able to dynamically adapt the bit-rate of a video bit-stream to the time-varying network conditions, such as the available bandwidth. A video transcoder which can adapt the bit-rate of a video bit-stream and support various content. manipulations, error-resilience, and video watermarking insertion will improve the overall performance of multimedia systems. In this dissertation, we investigate various issues regarding transcoder architectures for networked multimedia applications. We first investigate existing fast architectures and analyze potential problems and limitations. We show that due to inherent but often ignored assumptions in the derivation, the existing fast architectures have severe limitations in practical applications. We also propose a fast transcoder scheme which does not have the limitations and problems of the existing fast transcoder architectures and can achieve drift-free performance with similar processing speed as the existing fast transcoders. In the proposed architecture, drift-error is prevented by adopting a pixel-domain cascaded structure. To reduce the computational cost in transcoding, several stages of computational blocks, such as Discrete Cosine Transform (DCT), Inverse DCT (IDCT), quantization, and inverse quantization are optimized. We also extend the transcoding function to applications. of a logo insertion. We consider the case when transcoding is necessary in the logo insertion process to reduce the bit-rate. As many multimedia services are deployed in the Internet environment, the video delivery system requires a more intelligent and sophisticated bit-rate adaptation scheme with a high transcoding ratio because of the wide range of operating bandwidths of the current Internet infrastructure. Down-conversions of frame-rates or picture resolutions can be effectively used for achieving a high transcoding ratio while maintaining an acceptable video quality. For this temporal and resolution transcoding, we propose a fast-motion vector refinement scheme to obtain the outgoing motion vectors from the motion vectors extracted from the incoming bit-stream. Simulation results show that significant computational saving is possible while achieving almost the same video quality compared with that of using full-scale motion estimation.",,,,,,,University of Washington,,,AAI9964304,,"46049,79051","46049,79051",Unclassified,
,Exercising control over the design of evolving software systems using an inverse application of reflexion modeling,"Gear, Andrew Le and Buckley, Jim",,2006,ACM Digital Library,37–es,,"A software designer often has little control over, or a means of checking, whether his design is being adhered to once implementation begins. This 'architectural drift,' where the original design and the design of the implemented system diverge can cause serious problems for evolution, maintenance and the comprehensibility of a system if it remains undocumented. The earlier such discrepancies can be identified the better. This paper proposes a process for design control based on an inverted use of a design recovery technique called Reflexion Modeling that allows the software designer to enforce his design decisions during the implementation phase of the software engineering process.A large industrial case study of the development of an IBM system called DAP is used to demonstrate the effectiveness of the process. Based on a comparison between the old implementation of DAP and the new version, our findings suggests that better design control is achievable using our inverse Reflexion Modeling approach. This is because, during the case study our process revealed violations in the design of DAP. These were captured early and marked for correction. The violations were present in spite of the fact that the architect and implementer of the system was the same person. This indicates that design violations are very easily introduced and often unintentional, particularly in larger team-development contexts.Another measure of the value of the approach is the uptake of the tool by others in the organization. This has been quite rapid, with up to 15 installations since this work began. The next step will be to monitor several more iterations of the design control process and report upon the results of this new data.",,10.1145/1188966.1189016,https://doi.org/10.1145/1188966.1189016,,,,IBM Corp.,,,,,"46049,79051","46049,79051",Unclassified,
,A conformance review strategy for regulating safety-critical software,"Jetley, Raoul P.",,2006,ACM Digital Library,,,"Safety is an important concern for software used in life-critical systems such as air transport, nuclear power and medical devices. The critical nature of these systems necessitates that the software used therein be reliable and free of errors. It becomes imperative, therefore, to have a stringent review process in place to ascertain the correctness of the software and to ensure that it meets all requirements and standards. Regulatory agencies encourage the use of formal methods-based techniques in the development of safety critical software. However, most manufacturers are reluctant to use these techniques, citing them as too complex and time consuming. As a result, (potentially life-threatening) errors are often not discovered until the software is already on the market. When such an error is eventually discovered, it becomes essential to trace the failure to its exact source in the implementation and to assure that the error correction restores the overall safety and effectiveness of the device. In this dissertation, we present how efficient premarket and postmarket conformance reviews of designs and implementations can be carried out using formal methods-based techniques, to enable the process of reviewing software in safety-critical devices. To facilitate premarket conformance reviews, we introduce the notion of  usage models,  standardized formal models that serve as design templates. We present an approach to conformance checking of safety-critical software through formal verification and automated test case sequences derived from these usage models. To provide for efficient postmarket reviews, we establish a methodology based on integrating program slicing with model abstraction to trace software failures to their root cause. We formalize this methodology by presenting an iterative algorithm for  abstraction-driven slicing,  and realize this algorithm through the implementation of the CAdS---a forensic analysis tool for C programs. We provide case studies involving typical medical device software to illustrate the various concepts involved. We use results from these studies to establish the effectiveness of our proposed approach and compare it to conventional static analysis techniques such as program slicing. We demonstrate how our approach to premarket review is used to uncover safety errors in software implementations and show how abstraction-driven slicing can be used to improve the efficiency of postmarket reviews by up to 30%.",,,,,,,North Carolina State University,,,AAI3249688,,"46049,79051","46049,79051",Unclassified,
,"Focus: A Light-Weight, Incremental Approach to Software Architecture Recovery and Evolution","Ding, Lei and Medvidovic, Nenad",,2001,ACM Digital Library,191,,"During the past decade, object-orientation (OO) has become the dominant software development methodology, accompanied by a number of modeling notations, programming languages, and development environments. OO applications of today are increasingly complex and user-driven. They are also developed more rapidly and evolved more frequently than was the case with software systems of the past. All of these factors contribute to a plethora of potential problems when maintaining and evolving an OO application. These problems are caused by architectural erosion, where the initial architecture of an application is (arbitrarily) modified to the point where its key properties no longer hold. We propose an approach, called Focus, whose goal is to enable effective evolution of such an application with minimal effort, by recovering its architecture and using it as the basis of evolution. Focus allows engineers to direct their primary attention to the part of the system that is directly impacted by the desired change; subsequent changes will incrementally uncover additional parts of the system's architecture. We have applied Focus to four off-the-shelf applications to date. We discuss its key strengths and point out several open issues that will frame our future work.",,10.1109/WICSA.2001.948429,https://doi.org/10.1109/WICSA.2001.948429,,,"GUI, OO, Software architecture, evolution, recovery",IEEE Computer Society,,,,,"46049,79051","46049,79051",Unclassified,
,Predicting Architectural Styles from Component Specifications,"Bhattacharya, Sutirtha and Perry, Dewayne E.",,2005,ACM Digital Library,231–232,,"Software Product Lines (SPL), Component Based Software Engineering (CBSE) and Commercial Off The Shelf (COTS) components provide a rich supporting base for creating software architectures. Further, they promise significant improvements in the quality of software configurations that can be composed from pre-built components. Software architectural styles provide a way for achieving a desired coherence for such component-based architectures. This is because the different architectural styles enforce different quality attributes for a system. If the architectural style of an emergent system could be predicted in advance, a System Integrator could make necessary changes to ensure that the quality attributes dictated by the system requirements were satisfied before the actual system was deployed and tested. In this paper we propose a model for predicting architectural styles based on use cases that need to be met by a system configuration. Moreover, our technique can be used to determine stylistic conformance and hence indicate the presence or absence of architectural drift",,10.1109/WICSA.2005.50,https://doi.org/10.1109/WICSA.2005.50,,,"Architectural Style, Component Based Software Engineering, Reuse, System Composition",IEEE Computer Society,,,,,"46049,79051","46049,79051",Unclassified,
,Predicting Emergent Properties of Component Based Systems,"Bhattacharya, Sutirtha and Perry, Dewayne E.",,2007,ACM Digital Library,41–50,,"Software Product Lines (SPL), Component Based Software Engineering (CBSE) and Commercial Off the Shelf (COTS) components provide a rich supporting base for creating software architectures. Further, they promise significant improvements in the quality of software configurations that can be composed from prebuilt components. Software architectural styles provide a way for achieving a desired coherence for such component-based architectures. This is because the different architectural styles enforce different quality attributes for a system. If the architectural style of an emergent system could be predicted in advance, the System Architect could make necessary changes to ensure that the quality attributes dictated by the system requirements were satisfied before the actual system was deployed. In this paper we propose a model for predicting architectural styles, and hence the quality attributes, based on use cases that need to be satisfied by a system configuration. Our technique can be used to determine stylistic conformance and hence indicate the presence or absence of architectural drift.",,10.1109/ICCBSS.2007.25,https://doi.org/10.1109/ICCBSS.2007.25,,,,IEEE Computer Society,,,,,"46049,79051","46049,79051",Unclassified,
,An EFSM-based test generation for validation of SDL specifications,"Wong, W. Eric and Restrepo, Andy and Qi, Yu and Choi, Byoungju",,2008,ACM Digital Library,25–32,,"Existing techniques for testing an SDL specification mainly allow for either black box simulation or conformance testing to verify that the behavior of an implementation matches its corresponding model. However, this relies on the potentially hazardous assumption that the model is completely correct. We propose a test generation framework that can accomplish conformance verification as well as coverage criteria-driven white box testing of the specification itself. This approach builds on earlier work which established how to translate SDL processes into standard EFSMs and identify ""hot spots"" - nodes or edges in the EFSM which should be prioritized during testing to effectively increase coverage. Our technique generates test sequences intended to cover selected hot spots; we address the possible infeasibility of such a test sequence by allowing for its rejection decided by a constraint solver and re-generation of an alternate test sequence to the hot spot. In this paper, we present our EFSM translation and test generation tool and provide a case study demonstrating the effectiveness of our coverage-based test sequence selection.",,10.1145/1370042.1370049,https://doi.org/10.1145/1370042.1370049,,,"EFSM (extended finite state machine), SDL, coverage testing",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,TomTom for Business Process Management (TomTom4BPM),"Aalst, Wil M.",,2009,ACM Digital Library,2–5,,"Navigation systems have proven to be quite useful for many drivers. People increasingly rely on the devices of TomTom and other vendors and find it useful to get directions to go from A to B, know the expected arrival time, learn about traffic jams on the planned route, and be able to view maps that can be customized in various ways (zoom-in/zoom-out, show fuel stations, speed limits, etc.). However, when looking at business processes, such information is typically lacking. Good and accurate ""maps"" of business process are often missing and, if they exist, they tend to be restrictive and provide little information. For example, very few business process management systems are able to predict when a case will complete. Therefore, we advocate more TomTom-like functionality for business process management (TomTom4BPM). Process mining will play an essential role in providing TomTom4BPM as it allows for process discovery (generating accurate maps), conformance checking (comparing the real processes with the modeled processes), and extension (augmenting process models with additional/dynamic information).",,10.1007/978-3-642-02144-2_2,https://doi.org/10.1007/978-3-642-02144-2_2,,,,Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Validation of SDL specifications using EFSM-based test generation,"Wong, W. Eric and Restrepo, Andy and Choi, Byoungju",Inf. Softw. Technol.,2009,ACM Digital Library,1505–1519,51,"Existing methods for testing an SDL specification mainly allow for either black box simulation or conformance testing to verify that the behavior of an implementation matches its corresponding model. However, this relies on the potentially hazardous assumption that the model is completely correct. We propose a test generation method that can accomplish conformance verification as well as coverage criteria-driven white box testing of the specification itself. We first reformat a set of EFSMs equivalent to the processes in an SDL specification and identify ''hot spots'' - nodes or edges in the EFSM which should be prioritized during testing to effectively increase coverage. Then, we generate test sequences intended to cover selected hot spots; we address the possible infeasibility of such a test sequence by allowing for its rejection decided by a constraint solver and re-generation of an alternate test sequence to the hot spot. In this paper, we present our test generation method and tool, and provide case studies on five SDL processes demonstrating the effectiveness of our coverage-based test sequence selection.",,10.1016/j.infsof.2009.06.005,https://doi.org/10.1016/j.infsof.2009.06.005,,,"Constraint solver, Coverage testing, Dominator analysis, EFSM (Extended Finite State Machine), Hot spot, SDL",Butterworth-Heinemann,0950-5849,,,,"46049,79051","46049,79051",Unclassified,
,Automated extraction and checking of property models from source code for robot swarms,"Merlo, Ettore and Pinciroli, Carlo and Panerati, Jacopo and Famelis, Michalis and Beltrame, Giovanni",,2023,ACM Digital Library,47–54,,"As robots become a common presence in our everyday lives, ensuring the security and safety of robotic systems becomes an increasingly important and urgent challenge. Multi-robot systems, in particular, have the potential to revolutionize multiple industries---such as transportation and home care---where safety guarantees are a primary requirement. A known challenge for swarms and multi-robot systems is the gap between requirements and design, due to the need to translate swarm-level objectives into robot-level behaviors. In this paper, we focus on a less studied problem---the gap between requirements and implementation. As a case study, we use Buzz, that is a dynamic programming language designed for swarm robotics applications. Similarly to Python, Lua, and JavaScript, Buzz does not natively offer formal guarantees of correctness or safety. We propose an approach to automatically extract ""as-implemented"" models from Buzz programs, whose properties can then be formally analyzed and verified. Results obtained from the experiments performed on two medium-size open-source production-level systems for robotics research have also been reported. Our results show that the approach is feasible and is scalable to larger systems.",,10.1145/3526071.3527516,https://doi.org/10.1145/3526071.3527516,,,"domain-specific languages, model checking, model extraction, safety, software engineering, swarm robotics",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
