bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,Choreography conformance analysis: Asynchronous communications and information alignment,"Kazhamiakin, Raman and Pistore, Marco",Lecture Notes in Computer Science,2006,Scopus,227 - 241,4184 LNCS,"Web service choreography languages provide a way to describe the collaboration protocol of multiple services that exchange information in order to achieve a common goal. This description may be seen as a specification that should be respected by the joint behavior of the set of services implementing the choreography. Such a conformance requires that (i) the observable behavior of the implementation corresponds to the behavior described by the protocol specification, and (ii) the business information is properly managed, guaranteeing that the participants have a shared knowledge about it, according to what is specified in the choreography. In this paper we present a choreography conformance analysis approach that addresses both the behavioral correspondence and the business information management. The key features of the approach are the capability to deal with asynchronous interactions and the ability to model and analyse the data managed and exchanged in the protocol, thus providing more accurate verification results. We also present symbolic techniques based on these formalizations that can be used for model checking of the choreography conformance. © Springer-Verlag Berlin Heidelberg 2006.",Conference paper,10.1007/11841197_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845220517&doi=10.1007%2F11841197_15&partnerID=40&md5=9ce08b1c40da21b55f7ed59e0a23e002,,,Information services; Mathematical models; Network protocols; Telecommunication services; Asynchronous communications; Choreography conformance; Choreography languages; Web service; World Wide Web,,,,Cited by: 26,,Unclassified,
,"Web Services and Formal Methods - Third International Workshop, WS-FM 2006, Proceedings",,Lecture Notes in Computer Science,2006,Scopus,,4184 LNCS,The proceedings contain 18 papers. The topics discussed include: service QoS composition at the level of part names; SCC service centered calculus; semantic querying of mathematical Web service descriptions; verified reference implementations WS-security protocols; translating Orc features into Petri Nets and the join calculus; dynamic constraint-based invocation of Web services; a formal of contracts for Web services; execution semantics for service chreographies; analysis and verification of time requirements applied to the Web services composition; a formal approach to service component architecture; evaluating the scalability of a Web service-based distributed e-learning and course management system; chereography conformance analysis: asynchronous communications and information alignment; and towards a unifying theory for Web services composition.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941181272&partnerID=40&md5=8f439d33ad00107421c7862182f32e90,,,Information services; Petri nets; Quality of service; Semantics; Telecommunication services; Asynchronous communications; Service chreographies; Web services composition; World Wide Web,,,,Cited by: 0,,Unclassified,
,Process Mining and Monitoring Processes and Services: Workshop Report,"van der Aalst, Wil M.P.",Dagstuhl Seminar Proceedings,2006,Scopus,,6291,"In a service-oriented architecture, but also in classical en-treprise systems, a variety of events (e.g., messages being sent and received) are being logged. This information can be used for process mining purposes, i.e., based on some event log it is possible to discover processes or to check conformance. The goal of process discovery is to build models without a-priori knowledge, i.e., based on sequences of events one can look for the presence or absence of certain patterns and deduce some process model from it. For conformance checking there has to be an initial model. One can think of this model as a “contract” or “specification” and it is interesting to see whether the parties involved stick to this model. Using conformance checking it is possible to quantify the fit (fewer deviations result in a better fit) and to locate “problem areas” where a lot of deviations take place. One of the four workshops organized within the context of the Dagstuhl seminar on The Role of Business Processes in Service Oriented Architectures (Seminar 06291, 16.07.2006-21.07.2006) was a Workshop on Process Mining and Monitoring Processes and Services. In this paper, we report on the results of the workshop. © 2006 Dagstuhl Seminar Proceedings. All rights reserved.",Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174288086&partnerID=40&md5=048a151f07a074a04b510b6d2279deb9,,,Data mining; Service oriented architecture (SOA); Conformance checking; Event logs; Mining process; Monitoring process; Monitoring services; Priori knowledge; Process Discovery; Process mining; Service workshops; Soa (serviceoriented architecture); Information services,,,,Cited by: 0,,Unclassified,
,The Role of Business Processes in Service Oriented Architectures 2006,,Dagstuhl Seminar Proceedings,2006,Scopus,,6291,The proceedings contain 13 papers. The topics discussed include: a SOA-based architecture framework; AMFIBIA: a meta-model for the integration of business process modelling aspects; an algorithm for matching nondeterministic services with operating guidelines; approaches to compute workflow complexity; aspect-oriented techniques for web services: a model-driven approach; choreography conformance checking: an approach based on BPEL and Petri Nets; DecSerFlow: towards a truly declarative service flow language; model-driven and pattern-based integration of process-driven SOA models; pricing web services; towards a services-based process platform; and towards UML modelling extra-functional properties in web services and their clients.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174303016&partnerID=40&md5=c95d37d7ae03b61bc4b95960efb22473,,,,,,,Cited by: 0,,Unclassified,
,Interoperability in the ProM framework,"Verbeek, H. M.W. and Van Dongen, Boudewijn F. and Mendling, Jan and van der Aalst, Wil M.P.",CEUR Workshop Proceedings,2006,Scopus,,200,"Originally the ProM framework was developed as a design artifact for the process mining domain, i.e., extracting process models from event logs. However, in recent years the scope of the framework has become broader and now includes process verification, social network analysis, conformance checking, verification based on temporal logic, etc. Moreover, the framework supports a wide variety of process models, e.g., Petri nets, Event-driven Process Chains (EPCs), Heuristics nets, YAWL models, and is plug-able, i.e., people can add plug-ins without changing the framework itself. This makes the ProM framework an interesting environment for model interoperability. For example, people can take transaction log from IBM's WebSphere, discover a process model in terms of a heuristics net, convert the heuristics net to a Petri net for analysis, load an EPC defined using the ARIS toolset, verify the EPC and convert it to a Petri net, determine the fitness of the ARIS model given the transaction log from WebSphere, and finally convert both models to a YAWL specification that is exported. Such application scenarios are supported by ProM and demonstrate true model interoperability. In this paper, we present ProM's interoperability capabilities using a running example.",Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873562737&partnerID=40&md5=bc427407c008c0c47f58a5dbe2b68e51,,,Application scenario; Conformance checking; Design artifacts; Event driven process chain; Event logs; Model interoperability; Process mining; Process model; Process verifications; Social Network Analysis; Toolsets; Transaction log; Model checking; Petri nets; Social networking (online); Interoperability,,,,Cited by: 1,,Unclassified,
,Web service choreography conformance verification through the pi<X-model,"van Seghbroeck, Gregory and Volckaert, Bruno and de Turck, Filip D. and Dhoedt, Bart and Demeester, Piet M.A.",International Journal of Cooperative Information Systems,2010,Scopus,1 - 30,19,"As the adoption of the Service Oriented Architecture paradigm has dramatically increased over the past few years, proper coordination of loosely coupled services becomes an important issue when building state-of-the-art applications. This coordination is typically organized through orchestration (requiring a central coordinating entity) or through choreographies. While the latter approach allows for a fully distributed coordination, the need also arises for a distributed conformance check, ensuring that each participant of the choreography behaves according to the general choreography. In this paper, a formalism is presented to ensure this conformance at design time, with possible extensions to deploy time and to runtime conformance checking. This formalism is referred to as the piX-model and it will be shown that the approach taken is inherently less complex, both in time and space, than the conventional π-calculus-based approach, whilst offering the same conformance guarantees. This gain in performance allows for a small design turnaround time, and also opens the avenue to runtime conformance checking by resource constrained devices. © 2010 World Scientific Publishing Company.",Article,10.1142/S0218843010002097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953822042&doi=10.1142%2FS0218843010002097&partnerID=40&md5=59cb8e3b64c6aa0f7de30b851b9e31e4,,choreography; open bisimulation; Web services; WS-CDL,,,,,Cited by: 2,,Unclassified,
,Automatic component protocol generation and verification of components,"Both, Andreas and Richter, Dirk",,2010,Scopus,94 - 101,,"In several works a method was suggested to overcome the lack of signature-based composition currently enabled in component-based and service-oriented architectures (SOA). Several approaches allow to encode non-functional properties of a single component in a contract (component protocol) where the remote calls to a component are taken into consideration. Component protocols ensures that bugs or unsafe behavior caused interaction sequences are obeyed. Encoding business rules works fine as these contracts can be derived from human knowledge only and have to be defined manually, too. In this work we will show, how such unsafe behavior within source code can be discovered and prevented by automatic component protocol generation and model checking techniques. © 2010 IEEE.",Conference paper,10.1109/SEAA.2010.30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449290381&doi=10.1109%2FSEAA.2010.30&partnerID=40&md5=3faff80c698791b7d85b796a0dd13147,,Component composition; Component-based software engineering; Model checking; Protocol conformance checking; Protocol generation; Verification,Business rules; Component based; Component composition; Component protocols; Component-based software engineering; Conformance checking; Human knowledge; Model-checking techniques; Non functional properties; Protocol generation; Single components; Source codes; Automatic programming; Computer software selection and evaluation; Encoding (symbols); Information services; Service oriented architecture (SOA); Software engineering; Model checking,,,,Cited by: 1,,Unclassified,
,"3rd International Symposium on Engineering Secure Software and Systems, ESSoS 2011",,Lecture Notes in Computer Science,2011,Scopus,,6542 LNCS,"The proceedings contain 21 papers. The special focus in this conference is on Engineering Secure Software and Systems. The topics include: A Tool-Supported Method for the Design and Implementation of Secure Distributed Applications; an Architecture-Centric Approach to Detecting Security Patterns in Software; the Security Twin Peaks; evolution of Security Requirements Tests for Service–Centric Systems; after-Life Vulnerabilities: A Study on Firefox Evolution, Its Vulnerabilities, and Fixes; authorization Enforcement Usability Case Study; scalable Authorization Middleware for Service Oriented Architectures; adaptable Authentication Model: Exploring Security with Weaker Attacker Models; idea: Interactive Support for Secure Software Development; automatic Conformance Checking of Role-Based Access Control Policies via Alloy; idea: A Reference Platform for Systematic Information Security Management Tool Support; idea: Simulation Based Security Requirement Verification for Transaction Level Models; security Validation of Business Processes via Model-Checking; on-Device Control Flow Verification for Java Programs; efficient Symbolic Execution for Analysing Cryptographic Protocol Implementations; predictability of Enforcement; sessionShield: Lightweight Protection against Session Hijacking; security Sensitive Data Flow Coverage Criterion for Automatic Security Testing of Web Applications; middleware Support for Complex and Distributed Security Services in Multi-tier Web Applications.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037716892&partnerID=40&md5=1b92caee72d5d1f8b6b78191bcda9219,,,,,,,Cited by: 0,,Unclassified,
,"Engineering Secure Software and Systems - Third International Symposium, ESSoS 2011, Proceedings",,Lecture Notes in Computer Science,2011,Scopus,,6542 LNCS,"The proceedings contain 21 papers. The topics discussed include: model-based refinement of security policies in collaborative virtual organisations; automatic conformance checking of role-based access control policies via alloy; efficient symbolic execution for analysing cryptographic protocol implementations; SessionShield: lightweight protection against session hijacking; security sensitive data flow coverage criterion for automatic security testing of web applications; lightweight modeling and analysis of security concepts; an architecture-centric approach to detecting security patterns in software; evolution of security requirements tests for service-centric systems; after-life vulnerabilities: a study on Firefox evolution, its vulnerabilities, and fixes; scalable authorization middleware for service oriented architectures; and adaptable authentication model: exploring security with weaker attacker models.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551531399&partnerID=40&md5=2383dc51f13fd378825b30e4a5bcc1cd,,,,,,,Cited by: 0,,Unclassified,
,A formal and visual modeling approach to choreography based web services composition and conformance verification,"Yeung, Wing Lok",Expert Systems with Applications,2011,Scopus,12772 - 12785,38,"Web services have emerged as the building blocks of a service-oriented architecture that supports not only enterprise application integration (EAI) and business process management (BPM) within an organization but also B2B collaboration based on business process integration. The web services choreography approach to B2B process integration allows business partners to orchestrate their own web services privately, while conforming with an agreed specification of the common ordering conditions and constraints under which messages are exchanged among partners' web services. In this approach, choreography conformance is an essential requirement for the successful implementation of collaborative processes. A formal approach to web services composition and conformance verification based on WS-CDL and WS-BPEL is presented. This approach involves model checking as an automated means of verifying choreography conformance. The main contributions include a precise notion of choreography conformance on which verification is based as well as support for the complementary use of visual modeling (e.g. UML) and standard WS-* notations in composition. © 2010 Elsevier Ltd. All rights reserved.",Article,10.1016/j.eswa.2011.04.068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957995532&doi=10.1016%2Fj.eswa.2011.04.068&partnerID=40&md5=afe862255cad1bfca3badf60847427cb,,Choreography; Conformance verification; Contract negotiation; Model checking; Orchestration; Web services,B2B collaboration; Building blockes; Business partners; Business process integration; Business process management; Choreography; Collaborative process; Conformance verification; Contract negotiation; Enterprise application integration; Formal approach; Orchestration; Process integration; Service Oriented; Visual modeling; Web services composition; WS-BPEL; Enterprise resource management; Information services; Integration; Model checking; Service oriented architecture (SOA); User interfaces; Web ,,,,Cited by: 24,,Unclassified,
