Origin Paper,Snowballing Type,Reference,Title,Abstract,External Link,DOI,Status,selection_criteria
1,Forward,"LIAGHAT, Zainab et al. Using Reo Formalism for Compliance Checking of Architecture Evolution with Evolutionary Rules. In: Advancing Technology Industrialization Through Intelligent Software Methodologies, Tools and Techniques. IOS Press, 2019. p. 725-738.",Using Reo Formalism for Compliance Checking of Architecture Evolution with Evolutionary Rules,"Assessment of architectural evolution is a challenge and plays a significant role in system evolution management. Although the evolution rules of the software architecture are defined by some expert engineers or architects, there is no guarantee that applying them will end to the desired change. So, having a reliable assessment technique promotes the overall accuracy and quality of the evolution process. Compliance checking with expert-defined rules is a well-known assessment approach that can be applied in architectural evolution. In this paper, an approach is proposed for compliance checking of evolution processes. To this end, evolution paths and processes are modeled by Reo coordination language and compliance checking is automatically performed by model checking of the Reo circuits. To demonstrate the applicability of our approach, we show how it can be applied to a real-world architecture evolution problem.",,http://doi.org/10.3233/FAIA190093,Rejected,Studies without full-text availability.
1,Forward,"KONERSMANN, Marco. Towards a semantically useful definition of conformance with a reference model. 2023.",Towards a semantically useful definition of conformance with a reference model,"In software engineering, reference models are used as guidance for implementing potential solutions to recurring problems, such as reference architecture models or reference data models. Despite their broad use in practice, there is no clear definition for what it means for a concrete model to conform to a reference model, hindering the development of automated tools for conformance checking. This paper provides a semantically useful definition of conformance of concrete models to reference models. It presents concepts and tools for automated conformance checks for class diagrams, feature diagrams, and state charts, developed based on this definition. The paper discusses the commonalities and differences of the presented automated conformance checks and general design considerations for developing reference model conformance checkers in the context of model-driven engineering. Key findings include that reference models should use the same language as their concrete models, conformance checks require conformance mappings between reference and concrete model elements, and conformance rules must be based on formally defined language semantics.",,http://dx.doi.org/10.5381/jot.2024.23.3.a5,Accepted,"Studies that propose, analyze, or evaluate methods, techniques, approaches, tools, or frameworks for ACC."
1,Backward,"G. Buchgeher and R. Weinreich, ""Towards continuous reference architecture conformance analysis in 7th European Conference on Software Architecture (ECSA 2013), ser. Lecture Notes in Computer Science, K. Drira, Ed., vol. 7957. Springer Berlin Heidelberg, 2013, pp. 332-335. [Online]. Available: Http://dx.doi.org/10.1007/ 978-3-642-39031-9 32",Towards continuous reference architecture conformance analysis,"Reference architectures (RA) are reusable architectures for artifacts in a particular domain. They can serve as a basis for designing new architectures, but also as a means for quality control during system development. Quality control is performed through checking the conformance of systems in development to (company-wide) reference architectures. If performed manually, reference architecture conformance checking is a time- and resource-intensive process. In this paper we outline an approach for reference architecture conformance checking of application architectures in the banking domain. Reference architectures are defined on the basis of reusable rules, consisting of roles and of constraints on roles and role relationships. Conformance checking can be performed semi-automatically and continuously by automating important steps like the extraction of the actual application architecture, the binding of reference architecture roles to the elements of a specific application architecture, and the evaluation of the reference architecture rules for an application architecture.",https://link.springer.com/chapter/10.1007/978-3-642-39031-9_32,https://doi.org/10.1007/978-3-642-39031-9_32,Rejected,Studies without full-text availability.
1,Forward,"BUCAIONI, Alessio et al. Reference architectures modelling and compliance checking. Software and Systems Modeling, v. 22, n. 3, p. 891-917, 2023.",Reference architectures modelling and compliance checking,"Reference architectures (RAs) are successfully used to represent families of concrete software architectures in several domains such as automotive, banking, and the Internet of Things. RAs inspire architects when designing concrete architectures, and they help to guarantee compliance with architectural decisions, regulatory requirements, as well as architectural qualities. Despite their importance, reference architectures still suffer from a number of open technical issues, including (i) the lack of a common interpretation, a precise notation for their representation and documentation, and (ii) the lack of conformance mechanisms for checking the compliance of concrete architectures to their related reference architecture, architectural decisions, regulatory requirements, etc. This paper addresses these two issues by introducing a model-driven approach that leverages (i) a domain-independent metamodel for the representation of reference architectures and (ii) the combination of model transformation and weaving techniques for the automatic conformance checking of concrete architectures. We evaluate the applicability, effectiveness, and generalizability of our approach using illustrative examples from the web browsers and automotive domains, including an assessment from an independent practitioner.",,https://doi.org/10.1007/s10270-022-01022-z,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
1,Forward,"UZUN, Burak; TEKINERDOGAN, Bedir. Detecting deviations in the code using architecture view-based drift analysis. Computer Standards & Interfaces, v. 87, p. 103774, 2024.",Detecting deviations in the code using architecture view-based drift analysis,"One of the key requirements for the code is conformance with the architecture. Architectural drift implies the diverging of the implemented code from the architecture design of the system. Manually checking the consistency between the implemented code and architecture can be intractable and cumbersome for large-scale systems. This article proposes a holistic, automated architecture drift analysis approach that explicitly focuses on the adoption of architecture views. The approach builds on, complements, and enhances existing architecture conformance analysis methods that do not adopt a holistic approach or fail to address the architecture viewpoints. A model-driven development approach is adopted in which architecture views are represented as specifications of domain-specific languages. The code in its turn, is analyzed, and the architectural view specifications are reconstructed, which are then automatically checked with the corresponding architecture models. To illustrate the approach, we have applied a systematic case study research for an architecture drift analysis of the business-to-customer (B2C) system within a large-scale software company. The case study research showed that divergences and absences of architectural elements could be detected in a cost-effective manner with the proposed approach.",,https://doi.org/10.1016/j.csi.2023.103774,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
1,Backward,"G. C. Murphy, D. Notkin, and K. J. Sullivan, ""Software reflexion models: Bridging the gap between Design and implementation Software Engineering, IEEE Transactions on, vol. 27, no. 4, pp. 364-380, 4 2001",Software reflexion models: Bridging the gap between Design and implementation Software Engineering,"The artifacts constituting a software system often drift apart over time. We have developed the software reflexion model technique to help engineers perform various software engineering tasks by exploiting, rather than removing, the drift between design and implementation. More specifically, the technique helps an engineer compare artifacts by summarizing where one artifact (such as a design) is consistent with and inconsistent with another artifact (such as source). The technique can be applied to help a software engineer evolve a structural mental model of a system to the point that it is ""good enough"" to be used for reasoning about a task at hand. The software reflexion model technique has been applied to support a variety of tasks, including design conformance, change assessment, and an experimental reengineering of the million-lines-of-code Microsoft Excel product. We provide a formal characterization of the reflexion model technique, discuss practical aspects of the approach, relate experiences of applying the approach and tools, and place the technique into the context of related work.",https://ieeexplore.ieee.org/abstract/document/917525/,https://doi.org/10.1109/32.917525,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
1,Forward,"CHAABANE, Mariam et al. Mining approach for software architectures’ description discovery. In: 2017 IEEE/ACS 14th International Conference on Computer Systems and Applications (AICCSA). IEEE, 2017. p. 879-886.",Mining approach for software architectures’ description discovery,"System of Systems (SoS) is a new class of complex software systems resulting from the integration of several independent systems working together. Within a SoS, many participant systems may be integrated and deleted operationally over the time. Each system has an Architecture Model modeled at design time. Thus, the SoS' software architecture description is represented by an aggregated Architecture Model. This aggregated Architecture Model represents participant systems but not necessarily their interactions and communications over the time. In literature, several research studies addressed issues related to SoS. However, we noticed a lack of studies that address the problem of how to describe the whole SoS' software architecture for each change of a participant system over the time. Moreover, studies dealing with checking conformity between the whole SoS' software architecture description and the aggregated Architecture Model, are still lacking. This paper presents an approach for the discovery of SoS' software architecture description from execution traces. For this purpose, the proposed approach records execution traces of all participant systems belonging to the SoS, their interactions and communications in a data base. Then, our approach relies on mining techniques to extract software architecture from the data base and describes it via a model called Architecture Model. In addition, this paper offers a solution for checking conformity between the aggregated Architecture Model and the Discovered Model. The diagnosis results may suggest new rules/constraints to enhance the aggregated Architecture Model.",,https://doi.org/10.1109/AICCSA.2017.169,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
1,Backward,"C. Deiters, P. Dohrmann, S. Herold, and A. Rausch, ""Rule-based architectural compliance checks for enterprise architecture management in 2009 IEEE International Enterprise Distributed Object Computing Conference. IEEE, 9 2009, pp. 183-192",Rule-based architectural compliance checks for enterprise architecture management,"Modern enterprise application systems are parts of complex IT landscapes. The architecture of such a landscape may impose constraints upon the design of single applications, for example by the mandatory use of enterprise-wide reference architectures. It is of great importance for the sake of smooth operation and easy maintaining that single applications are com-pliant to the reference architectures. Checking this compliance is highly important for the architecture management to assure the quality of application systems. Unfortunately, current tool support is not flexible enough to easily check different aspects of architectural compliance.This paper proposes a rule-based approach based upon logic programming concepts towards a formalism for architectural compliance checking. In this approach, the architecture and design are represented as logical knowledge base that can be queried for architectural compliance. Furthermore, the paper presents a case study, in which the approach was prototypically implemented and applied in an industrial context.",https://ieeexplore.ieee.org/abstract/document/5277678/,https://doi.org/10.1109/EDOC.2009.15,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
1,Backward,"S. Herold, M. Mair, A. Rausch, and I. Schindler, ""Checking conformance with reference architectures: A case study in 17th International EDOC Conference (EDOC 2013), Vancouver, Canada. IEEE, 9 2013",Checking conformance with reference architectures: A case study ,"Reference architecture can help in enterprise architecture management to develop and operate standardized and maintainable software landscapes. Similar to the software architectures of single systems, however, they are threatened by architecture erosion, i.e. the continuous divergence between intended architectures and their actual realizations. Architecture erosion has negative effects on the maintainability of software systems and on other quality attributes. In this paper, we report on the application of a rule-based architecture conformance checking approach in an industrial case study in which we investigate an industrial reference architecture for the German public administration. The reference architecture and its constraints for implementations are formalized as architecture rules enabling automatic conformance checking tool support. The results from the case study show that the approach is capable of checking reference architecture conformance in realistic settings and helps to avoid software architecture erosion.",https://ieeexplore.ieee.org/abstract/document/6658265/,https://doi.org/10.1109/EDOC.2013.17,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
1,Forward,"CZEPA, Christoph et al. On the understandability of semantic constraints for behavioral software architecture compliance: A controlled experiment. In: 2017 IEEE International Conference on Software Architecture (ICSA). IEEE, 2017. p. 155-164.",On the understandability of semantic constraints for behavioral software architecture compliance: A controlled experiment,"Software architecture compliance is concerned with the alignment of implementation with its desired architecture and detecting potential inconsistencies. The work presented in this paper is specifically concerned with behavioral architecture compliance. That is, the focus is on semantic alignment of implementation and architecture. In particular, this paper evaluates three representative approaches for describing semantic constraints in terms of their understandability, namely natural language descriptions as used in many architecture documentations today, a structured language based on specification patterns that abstract underlying temporal logic formulas, and a structured cause-effect language that is based on Complex Event Processing. We conducted a controlled experiment with 190 participants using a simple randomized design with one alternative per experimental unit. Overall all approaches support a high level of correct understanding, and the statistical inference suggests that all tested approaches are equally well suited for describing semantic constraints for behavioral architecture compliance in terms of understandability. In consequence this indicates that it is possible to benefit from the tested structured languages with underlying formal representations for automated verification without having to suffer from decreased understandability. Vice versa, the results suggest that the use of natural language can be a suitable way to document architecture semantics when reliable automated support for formal verification is of minor importance.",,https://doi.org/10.1109/ICSA.2017.10,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
