Origin Paper,Snowballing Type,Reference,Title,Abstract,External Link,DOI
1,Forward,"徐永睿; 梁鹏. 面向模式软件体系结构合成中的冲突消解方法. 软件学报, v. 30, n. 8, p. 2428-2452, 2019.",面向模式软件体系结构合成中的冲突消解方法,,,http://doi.org/10.13328/j.cnki.jos.005511
1,Forward,"STROIŃSKI, Andrzej et al. A Hierarchical Process Model Discovery Algorithm for CRS Systems. Bulletin of the Polish Academy of Sciences Technical Sciences, p. 155043-155043.",A Hierarchical Process Model Discovery Algorithm for CRS Systems,"An increasing number of distributed systems are currently being developed according to the REST paradigm, supporting a diverse range of services and applications. However, analyzing potential errors and deviations in their operation has become progressively more difficult due to both the scale of processed data and the proliferation of available services. In this context, process mining offers a valuable approach. By analyzing event logs collected from such systems, it is possible to derive process models that represent application behavior in distributed environments. These models support the identification and remediation of errors as well as the optimization of system performance. This article introduces a mechanism for representing process models of Communication Resource Systems (CRS) developed within the REST paradigm using process algebra. In addition, we propose an algorithm for discovering such models, enabling the identification of both local processes executed within individual services and the interactions that occur between them.",,http://doi.org/10.24425/bpasts.2025.155043
1,Forward,"LIAGHAT, Zainab et al. Using Reo Formalism for Compliance Checking of Architecture Evolution with Evolutionary Rules. In: Advancing Technology Industrialization Through Intelligent Software Methodologies, Tools and Techniques. IOS Press, 2019. p. 725-738.",Using Reo Formalism for Compliance Checking of Architecture Evolution with Evolutionary Rules,"Assessment of architectural evolution is a challenge and plays a significant role in system evolution management. Although the evolution rules of the software architecture are defined by some expert engineers or architects, there is no guarantee that applying them will end to the desired change. So, having a reliable assessment technique promotes the overall accuracy and quality of the evolution process. Compliance checking with expert-defined rules is a well-known assessment approach that can be applied in architectural evolution. In this paper, an approach is proposed for compliance checking of evolution processes. To this end, evolution paths and processes are modeled by Reo coordination language and compliance checking is automatically performed by model checking of the Reo circuits. To demonstrate the applicability of our approach, we show how it can be applied to a real-world architecture evolution problem.",,http://doi.org/10.3233/FAIA190093
1,Backward,"G. I. Susman and R. D. Evered, ""An assessment of the scientific merits of action research Administrative science quarterly, pp. 582-603, 1978",An assessment of the scientific merits of action research Administrative science quarterly,"This article describes the deficiencies of positivist science for generating knowledge for use in solving problems that members of organizations face. Action research is introduced as a method for correcting these deficiencies. When action research is tested against the criteria of positivist science, action research is found not to meet its critical tests. The appropriateness of positivist science is questioned as a basis for judging the scientific merits of action research. Action research can base its legitimacy as science in philosophical traditions that are different from those which legitimate positivist science. Criteria and methods of science appropriate to action research are offered. [Publisher's text].",https://www.francoangeli.it/riviste/Scheda_rivista.aspx?IDArticolo=72448,http://doi.org/10.3280/SO2022-002006
1,Forward,"KONERSMANN, Marco. Towards a semantically useful definition of conformance with a reference model. 2023.",Towards a semantically useful definition of conformance with a reference model,"In software engineering, reference models are used as guidance for implementing potential solutions to recurring problems, such as reference architecture models or reference data models. Despite their broad use in practice, there is no clear definition for what it means for a concrete model to conform to a reference model, hindering the development of automated tools for conformance checking. This paper provides a semantically useful definition of conformance of concrete models to reference models. It presents concepts and tools for automated conformance checks for class diagrams, feature diagrams, and state charts, developed based on this definition. The paper discusses the commonalities and differences of the presented automated conformance checks and general design considerations for developing reference model conformance checkers in the context of model-driven engineering. Key findings include that reference models should use the same language as their concrete models, conformance checks require conformance mappings between reference and concrete model elements, and conformance rules must be based on formally defined language semantics.",,http://dx.doi.org/10.5381/jot.2024.23.3.a5
1,Forward,"MARTÍNEZ FERNÁNDEZ, Silverio Juan. Gathering empirical evidence and building a business case for software reference architectures in industry. 2016. Tese de Doutorado. Universitat Politècnica de Catalunya.",Gathering empirical evidence and building a business case for software reference architectures in industry,"Background: Software reference architectures are becoming widely adopted by organizations that need to support the design and maintenance of software applications of a shared domain. For organizations that plan to adopt this architecture-centric approach, it becomes fundamental to understand how software reference architectures are engineered, and to know their return on investment. Unfortunately, there is a lack of evidence-based support to help organizations with these challenges. Goal: The main goal of this PhD thesis is to support organizations making informed decisions about software reference architecture acquisition, design, and use based on empirical evidence. Methods: To accomplish this goal, we have conducted an action research approach in an industry-academia collaboration between everis (a multinational IT consulting firm based in Spain) and our Research Group of Software and Service Engineering (GESSI). Results: The results from our industry-academia collaboration led to uncover novel evidence on the use of software reference architectures in practice. The procedures and evidence obtained have been packaged to design guidelines that could be used in similar contexts as the one of everis. Conclusions: This PhD thesis supports organizations to acquire and engineer software reference architectures by providing evidence-based support. Such evidence-based support consists of the results of the empirical studies conducted in this PhD thesis, and the presented guidelines for gathering new corporate evidence.",https://hdl.handle.net/2117/96382,http://dx.doi.org/10.5821/dissertation-2117-96382
1,Forward,"QUINTON, Clément et al. Evolution in dynamic software product lines. Journal of software: evolution and process, v. 33, n. 2, p. e2293, 2021.",Evolution in dynamic software product lines,"Many software systems today provide support for adaptation and reconfiguration at runtime, in response to changes in their environment. Such adaptive systems are designed to run continuously and may not be shut down for reconfiguration or maintenance tasks. The variability of such systems has to be explicitly managed, together with mechanisms that control their runtime adaptation and reconfiguration. Dynamic software product lines (DSPLs) can help to achieve this. However, dealing with evolution is particularly challenging in a DSPL, as changes made at runtime can easily lead to inconsistencies. This paper describes the challenges of evolving DSPLs using an example cyber-physical system for home automation. We discuss the shortcomings of existing work and present a reference architecture to support DSPL evolution. To demonstrate its feasibility and flexibility, we implemented the proposed reference architecture for two different DSPLs: the aforementioned cyber-physical system, which uses feature models to describe its variability, and a runtime monitoring infrastructure, which is based on decision models. To assess the industrial applicability of our approach, we also implemented the reference architecture for a real-world DSPL, an automation software system for injection molding machines. Our results provide evidence on the flexibility, performance, and industrial applicability of our approach.",,https://doi.org/10.1002/smr.2293
1,Backward,"R. Cloutier, G. Muller, D. Verma, R. Nilchiani, E. Hole, and M. Bone, ""The concept of reference architectures Systems Engineering, pp. 14-27, 2009",The concept of reference architectures Systems Engineering,"The concept of Reference Architectures is novel in the business world. However, many architects active in the creation of complex systems frequently use the term Reference Architecture. Yet, these experienced architects do not collectively have a consistent notion of what constitutes a Reference Architecture, what is the value of maintaining the Reference Architecture, what is the best approach to visualizing a Reference Architecture, what is the most appropriate level of abstraction, and how should an architect make use of the Reference Architecture in their work? This paper examines current Reference Architectures and the driving forces behind development of them to come to a collective conclusion on what a Reference Architecture should truly be. It will be shown that a Reference Architecture captures the accumulated architectural knowledge of thousands man-years of work. This knowledge ranges from why (market segmentation, value chain, customer key drivers, application), what (systems, key performance parameters, system interfaces, functionality, variability), to how (design views and diagrams, essential design patterns, main concepts). The purpose of the Reference Architecture is to provide guidance for future developments. The Reference Architecture incorporates the vision and strategy for the future. The Reference Architecture is a reference for the hundreds of teams related to ongoing developments. By providing this reference all these teams have a shared baseline of why, what and how. It is the authors' goal that this paper will facilitate further research in the concepts and ideas presented herein. © 2009 Wiley Periodicals, Inc. Syst Eng",https://incose.onlinelibrary.wiley.com/doi/abs/10.1002/sys.20129,https://doi.org/10.1002/sys.20129
1,Backward,"A. Lee, Action is an Artifact: What Action Research and Design Science Offer to Each Other, ser. Integrated Series in Information Systems. Boston, MA: Springer US, 2007, vol. 13, ch. 3, pp. 43-60",Action is an Artifact: What Action Research and Design Science Offer to Each Other,"Both action research and design science provide the means for doing research that is rigorous and relevant. In this essay, I combine the different stages of the action research cycle with the different research activities and research outputs of design science. The result is a framework in which action research and design science are able to complement and strengthen each other.",https://link.springer.com/content/pdf/10.1007/978-0-387-36060-7_3?pdf=chapter%20toc,https://doi.org/10.1007/978-0-387-36060-7_3
1,Forward,"BUCHGEHER, Georg; WEINREICH, Rainer; HUBER, Heinz. A platform for the automated provisioning of architecture information for large-scale service-oriented software systems. In: European Conference on Software Architecture. Cham: Springer International Publishing, 2018. p. 203-218.",A platform for the automated provisioning of architecture information for large-scale service-oriented software systems,"Providing valid architecture information to stakeholders remains a challenge, as the effort required for documenting and maintaining this information over a longer period of time is very high. Automatically and continuously extracting architecture information from the system implementation makes it possible to document and keep architecture information up-to-date. In large software systems, architecture extraction has to deal with the continuous and efficient extraction of architectural information from very large code bases. In cooperation with a company from the financial sector, we have developed over several years a platform for the automatic extraction and provision of architectural information for large-scale service-oriented software systems. The platform was evaluated in a real industrial environment. The results of this evaluation show that it can provide up-to-date architectural information for large code bases on a daily basis. It also provides information on the trustworthiness of the extracted information and how it can be improved.",,https://doi.org/10.1007/978-3-030-00761-4_14
1,Forward,"KRIECHBAUM, Thomas; BUCHGEHER, Georg; WEINREICH, Rainer. Service development and architecture management for an enterprise soa. In: European Conference on Software Architecture. Cham: Springer International Publishing, 2014. p. 186-201.",Service development and architecture management for an enterprise soa,"We report on service development and architecture management practices for an enterprise SOA in the financial domain. First we describe how services are currently developed by one of the largest service providers for the financial domain in Austria. Then we show how we have introduced various practices and tools for architecture management over the last years. We have specifically implemented support for architecture extraction, architecture visualization, automatic architecture analysis, and architecture reviews as part of quality gates in the service development process. Finally, we report on lessons learned both in the area of service development and architecture management as well as on existing challenges and future work in this area.",,https://doi.org/10.1007/978-3-319-09970-5_17
1,Forward,"BUCHGEHER, Georg; WEINREICH, Rainer; KRIECHBAUM, Thomas. Making the case for centralized software architecture management. In: International Conference on Software Quality. Cham: Springer International Publishing, 2015. p. 109-121.",Making the case for centralized software architecture management,"Architectural knowledge is an important artifact for many software development and quality control activities. Examples for quality control activities based on architectural information are architecture reviews, dependency analyses, and conformance analyses. Architecture is also an important artifact for understanding, reuse, evolution, and maintenance. Unfortunately, in many projects architectural knowledge often remains implicit and is not available for a particular system stakeholder or outdated when it is actually needed. To address this problem, we propose to manage semi-formal software architecture knowledge in a central repository, where it is accessible to all stakeholders and where it can be automatically and continuously updated and analyzed by different tools. In this paper we discuss important elements and use cases of such an approach, and present an example for an architecture knowledge and information repository in the context of an enterprise service-oriented architecture (SOA).",,https://doi.org/10.1007/978-3-319-27033-3_8
1,Backward,"S. Angelov, J. J. M. Trienekens, and P. Grefen, ""Towards a method for the evaluation of reference architectures: Experiences from a case in ECSA 08: Proceedings of the 2nd European Conference on Software Architecture. Springer Berlin Heidelberg, 2008, pp. 225-240",Towards a method for the evaluation of reference architectures:,"Reference architectures provide major guidelines for the structure of a class of information systems. Because of their fundamental role, reference architectures have to be of high quality. Before accepting a reference architecture, it has to go through a rigorous evaluation process. A number of methods exist for the evaluation of software architectures. In this paper, we analyze the main differences between concrete software architectures and reference architectures. We discuss the effects of these differences on the evaluation of reference architectures and show that existing methods cannot be directly applied for the evaluation of reference architectures. For the evaluation of a reference architecture for e-contracting systems, we used the Architecture Tradeoff Analysis Method with a number of adaptations and extensions. We present our approach and share our experiences from this evaluation process. Based on the analysis and our experiences gained, we present our vision for a method for the evaluation of reference architectures.",https://link.springer.com/chapter/10.1007/978-3-540-88030-1_17,https://doi.org/10.1007/978-3-540-88030-1_17
1,Backward,"C. Deiters and A. Rausch, ""Assuring architectural properties during compositional architecture design in Proceedings of the 10th International Conference on Software Composition (SC 2011), ser. Lecture Notes in Computer Science, vol. 6708. Springer Berlin Heidelberg, 7 2011, pp. 141-148.",Assuring architectural properties during compositional architecture design,"Nowadays, software architectures are built by reusing proven architectural building blocks. The several building blocks are composed together to form the desired software architecture. Each block has its specific architectural properties which were maybe also responsible for its choice. But these properties could be violated during composition with impact on the architecture’s quality. Therefore, this paper proposes an approach to assure architectural properties of architectural building blocks during the compositional design of software architectures. This approach describes properties of architectural building blocks as assurances. Assurances as well as the descriptions of architectural building blocks themselves are formalised in the same way. Furthermore, the assurances of the chosen architectural building blocks are examined in composed architectures.",https://link.springer.com/chapter/10.1007/978-3-642-22045-6_10,https://doi.org/10.1007/978-3-642-22045-6_10
1,Backward,"E. Y. Nakagawa, P. Oliveira Antonino, and M. Becker, ""Reference architecture and product line architecture: A subtle but critical difference in Software Architecture, ser. Lecture Notes in Computer Science, I. Crnkovic, V. Gruhn, and M. Book, Eds. Springer Berlin Heidelberg, 2011, vol. 6903, pp. 207-211. [Online]. Available: Http://dx.doi.org/10.1007/978-3-642-23798-0 22",Reference architecture and product line architecture: A subtle but critical difference in Software Architecture,"Currently, the size and complexity of software systems, as well as critical time to market, demand new approaches from Software Engineering discipline for building such systems. In this context, the use of reference architectures and product line architectures is becoming a common practice. However, both of these concepts are sometimes mistakenly seen as the same thing; it is also not clearly established how they can be explored in a complementary way in order to contribute to software development. The main contribution of this paper is to make a clear differentiation between these architectures, by investigating and establishing definitions for each of them. Based on this, we also propose the use of reference architectures as a basis for product line architectures. As a result, a better understanding of both reference architectures and product line architectures, as well as an understanding of how to explore them jointly, can contribute to promoting more effective reuse in the development of software systems.",https://link.springer.com/chapter/10.1007/978-3-642-23798-0_22,https://doi.org/10.1007/978-3-642-23798-0_22
