Origin Paper,Snowballing Type,Reference,External Link,DOI,
5,Backward,"Carlos M. Aderaldo, Nabor C. Mendonça, Claus Pahl, and Pooyan Jamshidi. 2017. Benchmark requirements for microservices architecture research. In 1st International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering (ECASE). 8--13.",https://dl.acm.org/doi/10.5555/3101282.3101285,,
5,Backward,"Sascha Alpers, Christoph Becker, Andreas Oberweis, and Thomas Schuster. 2015. Microservice based tool support for business process modelling. In 19th International Enterprise Distributed Object Computing Workshop (EDOCW). 71--78.",,https://doi.org/10.1109/EDOCW.2015.32,
5,Backward,"Nuha Alshuqayran, Nour Ali, and Roger Evans. 2016. A systematic mapping study in microservice architecture. In 9th International Conference on Service-Oriented Computing and Applications (SOCA). 44--51.",,https://doi.org/10.1109/SOCA.2016.15,
5,Backward,Jens Borchers. 2011. Invited Talk: Reengineering from a Practitioner's View - A Personal Lesson's Learned Assessment. In 15th European Conference on Software Maintenance and Reengineering (CSMR). 1--2. 10.1109/CSMR.2011.63,,https://doi.org/10.1109/CSMR.2011.63,
5,Backward,Jan Bosch. 2004. Software Architecture: The Next Step. In First European Workshop (EWSA). 194--199. 10.1007/978-3-540-24769-2_14,,https://doi.org/10.1007/978-3-540-24769-2_14,
5,Backward,"Thomas Engel, Melanie Langermeier, Bernhard Bauer, and Alexander Hofmann. 2018. Evaluation of Microservice Architectures: A Metric and Tool-Based Approach. In 30th International Conference on Advanced Information Systems Engineering(CAiSE). 74--89.",,https://doi.org/10.1007/978-3-319-92901-9_8,
5,Backward,Martin Fowler. 2014. Microservices Resource Guide. https://martinfowler.com/microservices/.,,,
5,Backward,Martin Fowler and James Lewis. 2014. Microservices: a definition of this new architectural term. Disponível em: https://martinfowler.com/articles/microservices.html.,,,
5,Backward,"Paolo Di Francesco, Ivano Malavolta, and Patricia Lago. 2017. Research on architecting microservices: trends, focus, and potential for industrial adoption. In 4rd International Conference on Software Architecture (ICSA). 21--30.",,https://doi.org/10.1109/ICSA.2017.24,
5,Backward,"Giona Granchelli, Mario Cardarelli, Paolo Di Francesco, Ivano Malavolta, Ludovico Iovino, and Amleto Di Salle. 2017. MicroART: A Software Architecture Recovery Tool for Maintaining Microservice-based Systems. In 1st International Conference on Software Architecture (ICSA). 298--302.",,https://doi.org/10.1109/ICSAW.2017.9,
5,Backward,"Giona Granchelli, Mario Cardarelli, Paolo Di Francesco, Ivano Malavolta, Ludovico Iovino, and Amleto Di Salle. 2017. Towards Recovering the Software Architecture of Microservice-Based Systems. In 1st International Conference on Software Architecture Workshops (ICSAW). 46--53.",,https://doi.org/10.1109/ICSAW.2017.48,
5,Backward,"Jens Knodel, Dirk Muthig, Uwe Haury, and Gerald Meier. 2008. Architecture Compliance Checking - Experiences from Successful Technology Transfer to Industry. In 12th European Conference on Software Maintenance and Reengineering (CSMR). 43--52. 10.1109/CSMR.2008.4493299",,https://doi.org/10.1109/CSMR.2008.4493299,
5,Backward,Benjamin Mayer and Rainer Weinreich. 2018. An Approach to Extract the Architecture of Microservice-Based Software Systems. In 12th Symposium on Service-Oriented System Engineering(SOSE). 21--30.,,https://doi.org/10.1109/SOSE.2018.00012,
5,Backward,"Gail Murphy, David Notkin, and Kevin Sullivan. 1995. Software Reflexion Models: Bridging the Gap Between Source and High-Level Models. In 3rd Symposium on Foundations of Software Engineering(FSE). 18--28. 10.1145/222124.222136",,https://doi.org/10.1145/222132.222136,
5,Backward,"Gail C. Murphy, David Notkin, and Kevin Sullivan. 1995. Software reflexion models: Bridging the gap between source and high-level models. In 3rd International Symposium on Foundations of Software Engineering (FSE). 18--28.",,https://doi.org/10.1145/222132.222136,
5,Backward,Sam Newman. 2015. Building microservices: designing fine-grained systems (1 ed.). O Reilly Media.,,,
5,Backward,"Leonardo Passos, Ricardo Terra, Renato Diniz, Marco Tulio Valente, and Nabor Mendonça. 2010. Static Architecture-Conformance Checking: An Illustrative Overview. IEEE Software 27, 5 (2010), 82--89.",,https://doi.org/10.1109/MS.2009.117,
5,Backward,Pivotal. 2018. Spring Cloud Netflix. https://cloud.spring.io/spring-cloud-netflix.,https://cloud.spring.io/spring-cloud-netflix,,
5,Backward,Chris Richardson. 2017. A pattern language for microservices. http://microservices.io/patterns/index.html.,,,
5,Backward,"Santonu Sarkar, Shubha Ramachandran, G. Sathish Kumar, Madhu K. Iyengar, K. Rangarajan, and Saravanan Sivagnanam. 2009. Modularization of a Large-Scale Business Application: A Case Study. IEEE Software 26 (2009), 28--35. 10.1109/MS.2009.42",,https://doi.org/10.1109/MS.2009.42,
5,Backward,"Ricardo Terra and Marco Tulio Valente. 2008. Verificação Estática de Arquiteturas de Software utilizando Restrições de Dependência. In II Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software (SBCARS). 24--37.",,https://doi.org/10.5753/sbcars.2008.46220,
5,Backward,"Ricardo Terra and Marco Tulio Valente. 2009. A dependency constraint language to manage object-oriented software architectures. Software: Practice and Experience 39, 12 (2009), 1073--1094.",,https://doi.org/10.1002/spe.931,
5,Backward,"Ricardo Terra, Marco Tulio Valente, Krzyszt of Czarnecki, and Roberto S. Bigonha. 2015. A Recommendation System for Repairing Violations Detected by Static Architecture Conformance Checking. Software: Practice and Experience 45, 3 (2015), 315--342. 10.1002/spe.2228",,https://doi.org/10.1002/spe.2228,
5,Backward,"Johannes Thönes. 2015. Microservices. IEEE Software 32, 1 (2015), 116--126.",,https://doi.org/10.1109/MS.2015.11,
5,Backward,"Uwe Zdun, Elena Navarro, and Frank Leymann. 2017. Ensuring and Assessing Architecture Conformance to Microservice Decomposition Patterns. In 15th International Conference on Service-Oriented Computing (ICSOC). 411--429.",,https://doi.org/10.1007/978-3-319-69035-3_29,
5,Backward,"Xiang Zhou, Xin Peng, Tao Xie, Jun Sun, Chenjie Xu, Chao Ji, and Wenyun Zhao. 2018. Poster: Benchmarking Microservice Systems for Software Engineering Research. In 40th International Conference on Software Engineering (ICSE). 323324.",,https://doi.org/10.1145/3183440.3194991,
5,Forward,"RAMIREZ MENDEZ, Francisco Miguel. Static analysis learning of annotations in microservices. 2024. Tese de Doutorado. University of Birmingham.",https://etheses.bham.ac.uk/id/eprint/15347/,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,, 
