Origin Paper,Snowballing Type,Reference,External Link,DOI
8,Backward,"Pahl, C., & Jamshidi, P. (2016). Microservices: A systematic mapping study. In: 6th International Conference on Cloud Computing and Services Science, pp. 137–146.",https://www.scitepress.org/PublishedPapers/2016/57855/57855.pdf,
8,Backward,"Pautasso, C., & Wilde, E. (2009). Why is the web loosely coupled?: a multi-faceted metric for service design. In: 18th Int. Conf. on World Wide Web. ACM, pp. 911–920.",,https://doi.org/10.1145/1526709.1526832
8,Backward,"Richardson, C. (2017). A pattern language for microservices. http://microservices.io/patterns/index.html",http://microservices.io/patterns/index.html,
8,Backward,"Zimmermann, O., Gschwind, T., Küster, J., Leymann, F., Schuster, N.: Reusable architectural decision models for enterprise application development. In: Overhage, S., Szyperski, C.A., Reussner, R., Stafford, J.A. (eds.) QoSA 2007. LNCS, vol. 4880, pp. 15–32. Springer, Heidelberg (2007). https://doi.org/10.1007/978-3-540-77619-2_2",,https://doi.org/10.1007/978-3-540-77619-2_2
8,Backward,"Zimmermann, O.: Microservices tenets. Comput. Sci. - Res. Dev. 32(3), 301–310 (2016). https://doi.org/10.1007/s00450-016-0337-0",,https://doi.org/10.1007/s00450-016-0337-0
8,Backward,"Pautasso, C., Zimmermann, O., Amundsen, M., Lewis, J., Josuttis, N.: Microservices in practice, part 1: reality check and service design. IEEE Softw. 34(1), 91–98 (2017)",,https://doi.org/10.1109/MS.2017.24
8,Backward,"Zimmermann, O., Stocker, M., Zdun, U., Luebke, D., Pautasso, C.: Microservice API patterns (2019). https://microservice-api-patterns.org",https://microservice-api-patterns.org,
8,Backward,"Skowronski, J.: Best practices for event-driven microservice architecture (2019). https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p21lk",https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p21lk,
8,Backward,"Ntentos, E., Zdun, U., Plakidas, K., Meixner, S., Geiger, S.: Metrics for assessing architecture conformance to microservice architecture patterns and practices. In: Kafeza, E., Benatallah, B., Martinelli, F., Hacid, H., Bouguettaya, A., Motahari, H. (eds.) ICSOC 2020. LNCS, vol. 12571, pp. 580–596. Springer, Cham (2020). https://doi.org/10.1007/978-3-030-65310-1_42",,https://doi.org/10.1007/978-3-030-65310-1_42
8,Backward,"Bures, T., Duchien, L., Inverardi, P. (eds.): ECSA 2019. LNCS, vol. 11681. Springer, Cham (2019). https://doi.org/10.1007/978-3-030-29983-5",,https://doi.org/10.1007/978-3-030-29983-5
8,Backward,"Hohpe, G., Woolf, B.: Enterprise Integration Patterns. Addison-Wesley, Boston (2003)",,
8,Backward,"Lewis, J., Fowler, M.: Microservices: a definition of this new architectural term, March 2004. http://martinfowler.com/articles/microservices.html",https://martinfowler.com/articles/microservices.html,
8,Backward,"Taibi, D., Lenarduzzi, V.: On the definition of microservice bad smells. IEEE Softw. 35(3), 56–62 (2018)",,https://doi.org/10.1109/MS.2018.2141031
8,Backward,"Neri, D., Soldani, J., Zimmermann, O., Brogi, A.: Design principles, architectural smells and refactorings for microservices: a multivocal review. SICS Software-Intensive Cyber-Physical Systems 35(1), 3–15 (2019). https://doi.org/10.1007/s00450-019-00407-8",,https://doi.org/10.1007/s00450-019-00407-8
8,Backward,"Le, D.M., Carrillo, C., Capilla, R., Medvidovic, N.: Relating architectural decay and sustainability of software systems. In: 2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA), pp. 178–181 (2016)",,https://doi.org/10.1109/WICSA.2016.15
8,Backward,"Garcia, J., Popescu, D., Edwards, G., Medvidovic, N.: Identifying architectural bad smells. In: 2009 13th European Conference on Software Maintenance and Reengineering, pp. 255–258 (2009)",,https://doi.org/10.1109/CSMR.2009.59
8,Backward,"Garcia, J., Popescu, D., Edwards, G., Medvidovic, N.: Toward a catalogue of architectural bad smells. In: Mirandola, R., Gorton, I., Hofmeister, C. (eds.) QoSA 2009. LNCS, vol. 5581, pp. 146–162. Springer, Heidelberg (2009). https://doi.org/10.1007/978-3-642-02351-4_10",,https://doi.org/10.1007/978-3-642-02351-4_10
8,Backward,"Azadi, U., Fontana, F., Taibi, D.: Architectural smells detected by tools: a catalogue proposal. In: 2019 IEEE/ACM International Conference on Technical Debt (TechDebt), pp. 88–97 (2019)",,https://doi.org/10.1109/TechDebt.2019.00028
8,Backward,"Brogi, A., Neri, D., Soldani, J., et al.: Freshening the air in microservices: resolving architectural smells via refactoring. In: Yangui, S. (ed.) ICSOC 2019. LNCS, vol. 12019, pp. 17–29. Springer, Cham (2020). https://doi.org/10.1007/978-3-030-45989-5_2",,https://doi.org/10.1007/978-3-030-45989-5_2
8,Backward,"Le, D.M., Link, D., Shahbazian, A., Medvidovic, N.: An empirical study of architectural decay in open-source software. In: 2018 IEEE International Conference on Software Architecture (ICSA), pp. 176–17609 (2018)",,https://doi.org/10.1109/ICSA.2018.00027
8,Backward,"Marinescu, R.: Detection strategies: metrics-based rules for detecting design flaws. In: 20th IEEE International Conference on Software Maintenance, 2004. Proceedings, pp. 350–359 (2004)",,https://doi.org/10.1109/ICSM.2004.1357820
8,Backward,"tentos, E., Zdun, U., Plakidas, K., Geiger, S.: Semi-automatic feedback for improving architecture conformance to microservice patterns and practices. In: 18th IEEE International Conference on Software Architecture(ICSA 2021), March 2021.",,https://doi.org/10.1109/ICSA51549.2021.00012
8,Forward,"LELOVIC, Luka et al. Change impact analysis in microservice systems: A systematic literature review. Journal of Systems and Software, v. 219, p. 112241, 2025.",,https://doi.org/10.1016/j.jss.2024.112241
8,Forward,"BAKHTIN, Alexander et al. Tools reconstructing microservice architecture: A systematic mapping study. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2023. p. 3-18.",,https://doi.org/10.1007/978-3-031-66326-0_1
8,Forward,"MICHAEL AYAS, Hamdy; LEITNER, Philipp; HEBIG, Regina. An empirical study of the systemic and technical migration towards microservices. Empirical Software Engineering, v. 28, n. 4, p. 85, 2023.",,https://doi.org/10.1007/s10664-023-10308-9
8,Forward,"QUATTROCCHI, Giovanni et al. Cromlech: Semi-automated monolith decomposition into microservices. IEEE Transactions on Services Computing, v. 17, n. 2, p. 466-481, 2024.",,https://doi.org/10.1109/TSC.2024.3354457
8,Forward,"SOLIMAN, Mohamed et al. Mining software repositories for software architecture—A systematic mapping study. Information and Software Technology, v. 181, p. 107677, 2025.",,https://doi.org/10.1016/j.infsof.2025.107677
8,Forward,"MATAR, Raghad; JAHIĆ, Jasmin. An approach for evaluating the potential impact of anti-patterns on microservices performance. In: 2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C). IEEE, 2023. p. 167-170.",,https://doi.org/10.1109/ICSA-C57050.2023.00044
8,Forward,"QUÉVAL, Pierre-Jean; ZDUN, Uwe. Extracting the architecture of microservices: An approach for explainability and traceability. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2023. p. 346-353.",,https://doi.org/10.1007/978-3-031-42592-9_24
8,Forward,"DE OLIVEIRA ROSA, Thatiane et al. CharM—Evaluating a model for characterizing service-based architectures. Journal of Systems and Software, v. 206, p. 111826, 2023.",,https://doi.org/10.1016/j.jss.2023.111826
8,Forward,"SUN, Chang-Ai et al. Detecting inconsistencies in microservice-based systems: An annotation-assisted scenario-oriented approach. IEEE Transactions on Services Computing, v. 17, n. 5, p. 2194-2209, 2024.",,https://doi.org/10.1109/TSC.2024.3399652
8,Forward,"DÜRR, Karolin; LICHTENTHÄLER, Robin. An evaluation of modeling options for cloud-native application architectures to enable quality investigations. In: 2022 IEEE/ACM 15th International Conference on Utility and Cloud Computing (UCC). IEEE, 2022. p. 297-304.",,https://doi.org/10.1109/UCC56403.2022.00053
8,Forward,"FARSI, Hassan et al. A graph-based solution to deal with cyclic dependencies in microservices architecture. In: 2022 9th International Conference on Future Internet of Things and Cloud (FiCloud). IEEE, 2022. p. 254-259.",,https://doi.org/10.1109/FiCloud57274.2022.00042
8,Forward,"XING, Yongchao et al. Catalog, Impact, and Evaluation of Microservice Bad Smells: A Systematic Literature Review. Software: Practice and Experience, 2026.",,https://doi.org/10.1002/spe.70053
8,Forward,"NTENTOS, Evangelos et al. Evaluating and improving microservice architecture conformance to architectural design decisions. In: International Conference on Service-Oriented Computing. Cham: Springer International Publishing, 2021. p. 188-203.",,https://doi.org/10.1007/978-3-030-91431-8_12
8,Forward,"KINOSHITA, Takahiro; KANUKA, Hideyuki. Enhancing automated microservice decomposition via multi-objective optimization. IEEE Access, v. 12, p. 55697-55710, 2024.",,https://doi.org/10.1109/ACCESS.2024.3389700
8,Forward,"LICHTENTHÄLER, Robin; WIRTZ, Guido. An experimental validation of architectural measures for cloud-native quality evaluations. In: 2025 IEEE 18th International Conference on Cloud Computing (CLOUD). IEEE, 2025. p. 374-384.",,https://doi.org/10.1109/CLOUD67622.2025.00045
8,Forward,"DANIEL, João et al. Towards the detection of microservice patterns based on metrics. In: 2023 49th Euromicro Conference on Software Engineering and Advanced Applications (SEAA). IEEE, 2023. p. 132-139.",,https://doi.org/10.1109/SEAA60479.2023.00029
8,Forward,"MATAR, Raghad; JAHIC, Jasmin. MDEPT: Microservices design evaluator and performance tester. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2024. p. 138-154.",,https://doi.org/10.1007/978-3-031-70797-1_9
8,Forward,"KINOSHITA, Takahiro; KANUKA, Hideyuki. Automated microservice decomposition method as multi-objective optimization. In: 2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C). IEEE, 2022. p. 112-115.",,https://doi.org/10.1109/ICSA-C54293.2022.00028
8,Forward,"PANDEY, Sushant Kumar et al. Comparing Programming Language Models for Design Pattern Recognition. In: 2024 IEEE 21st International Conference on Software Architecture Companion (ICSA-C). IEEE, 2024. p. 183-190.",,https://doi.org/10.1109/ICSA-C63560.2024.00041
8,Forward,"ZAFAR, Faizan. Investigating Quality Attributes and Best Practices of Microservices Architectures. 2022.",https://swc.rwth-aachen.de/docs/bachelor-master-theses/2022-015-MT_Zafar/2022-11-07%20MT%20Faizan%20Zafar%20-%20Thesis%20Report.pdf,
8,Forward,"KALWANI, Tarun. Architectural Evolution in Practice: Comparing Monolithic and Microservices Migration Approaches. International Journal of Computer Science and Security (IJCSS), v. 19, n. 5, p. 157-166, 2025.",https://mail.cscjournals.org/manuscript/Journals/IJCSS/Volume19/Issue5/IJCSS-1754.pdf,
8,Forward,"GUILLÉN, Lourdes Mercedes Guzmán. Mapeo sistemático de la literatura acerca de patrones de microservicios empleados en proyectos DevOps. 2025. Dissertação de Mestrado. Pontificia Universidad Catolica del Peru (Peru).",https://www.proquest.com/openview/c722690563ba8e81a4a4b9423451b7cc/1?pq-origsite=gscholar&cbl=2026366&diss=y,
