#id,source_type,title,author,year,doi,url
S01,DL,Automatic reference architecture conformance checking for SOA - Based software systems,"Weinreich, Rainer and Buchgeher, Georg",2014,10.1109/WICSA.2014.22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903699771&doi=10.1109%2FWICSA.2014.22&partnerID=40&md5=96fd4bda5bf10a64931ef66740c65973
S02,DL,Ensuring and assessing architecture conformance to microservice decomposition patterns,"Zdun, Uwe and Navarro, Elena M. and Leymann, Frank",2017,10.1007/978-3-319-69035-3_29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034118349&doi=10.1007%2F978-3-319-69035-3_29&partnerID=40&md5=09028be9a2824f32498a3cc9a1e061cb
S03,snowballing,Evaluation of microservice architectures: A metric and tool-based approach,"ENGEL, Thomas et al. ",2018,10.1007/978-3-319-92901-9_8,
S04,snowballing,Freshening the air in microservices: resolving architectural smells via refactoring.,"Brogi, A., Neri, D., Soldani, J., et al.",2020,10.1007/978-3-030-45989-5_2,
S05,DL,Assessing architecture conformance to coupling-related patterns and practices in microservices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",2020,10.1007/978-3-030-58923-3_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091491521&doi=10.1007%2F978-3-030-58923-3_1&partnerID=40&md5=40ac2ec320983cc02b5585a7b76de071
S06,DL,Metrics for assessing architecture conformance to microservice architecture patterns and practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",2020,10.1007/978-3-030-65310-1_42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098257999&doi=10.1007%2F978-3-030-65310-1_42&partnerID=40&md5=3aa4617740e9ab7d0afe4515c2f39740
S07,DL,Applying a multi-platform architectural conformance solution in a real-world microservice-based system,"Araujo, Elena A. and Espíndola, Álvaro M. and Garcia, Vinícius Cardoso and Terra, Ricardo",2020,10.1145/3425269.3425270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095810870&doi=10.1145%2F3425269.3425270&partnerID=40&md5=e7e0a97f76bf857656bc9c0a149ea44a
S08,DL,Towards a method for monitoring the coupling evolution of microservice-based architectures,"de Freitas Apolinário, Daniel Rodrigo and de França, Breno Bernard Nicolau",2020,10.1145/3425269.3425273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095820890&doi=10.1145%2F3425269.3425273&partnerID=40&md5=add7766e1e8a85bb98d13c462bb4a90c
S09,DL,Monitoring Behavioral Compliance with Architectural Patterns Based on Complex Event Processing,"Krieger, Christoph and Breitenb\""{u}cher, Uwe and Falkenthal, Michael and Leymann, Frank and Yussupov, Vladimir and Zdun, Uwe",2020,10.1007/978-3-030-44769-4_10,10.1007/978-3-030-44769-4_10
S10,snowballing,"The mTOSCA toolchain: Mining, analyzing, and refactoring microservice-based architectures.","Jacopo Soldani, Giuseppe Muntoni, Davide Neri, and Antonio Brogi. ",2021,10.1002/spe.2974,
S11,DL,Evaluating and Improving Microservice Architecture Conformance to Architectural Design Decisions,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",2021,10.1007/978-3-030-91431-8_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120524117&doi=10.1007%2F978-3-030-91431-8_12&partnerID=40&md5=7c0a3ca83ce0ea7e29e48e83a98d3392
S12,DL,Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",2021,10.1109/ICSA51549.2021.00012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106981120&doi=10.1109%2FICSA51549.2021.00012&partnerID=40&md5=21f3e272b00832b218635553f530d18f
S13,DL,A method for monitoring the coupling evolution of microservice-based architectures,"Apolinário, Daniel R.F. and de França, Breno Bernard Nicolau",2021,10.1186/s13173-021-00120-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120964084&doi=10.1186%2Fs13173-021-00120-y&partnerID=40&md5=cbc0e8df254457768b1cae8caeaf6e2b
S14,snowballing,A graph-based solution to deal with cyclic dependencies in microservices architecture,"FARSI, Hassan et al. ",2022,10.1109/FiCloud57274.2022.00042,
S15,DL,Conformance Assessment of Architectural Design Decisions on the Mapping of Domain Model Elements to APIs and API Endpoints,"Singjai, Apitchaka and Zdun, Uwe",2022,10.1109/ICSA-C54293.2022.00058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132156777&doi=10.1109%2FICSA-C54293.2022.00058&partnerID=40&md5=3e2aa421b5fd4b24cafd09c2a033ac48
S16,DL,Assessing Architecture Conformance to Security-Related Practices in Infrastructure as Code Based Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",2022,10.1109/SCC55611.2022.00029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138037280&doi=10.1109%2FSCC55611.2022.00029&partnerID=40&md5=8426e3bbce08ccc97b9609781c1c9c9c
S17,DL,Assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies,"Ntentos, Evangelos and Zdun, Uwe and Soldani, Jacopo and Brogi, A.",2022,10.1007/978-3-031-16697-6_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139055698&doi=10.1007%2F978-3-031-16697-6_7&partnerID=40&md5=92a48b524ba0d45d201490a08b8edce9
S18,DL,API Description-Based Conformance Assessment of Architectural Design Decision,"Singjai, Apitchaka and Zdun, Uwe",2022,10.1109/SOSE55356.2022.00013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141357694&doi=10.1109%2FSOSE55356.2022.00013&partnerID=40&md5=2ad201d4c891488ae0242aec28663d21
S19,DL,Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models,"Singjai, Apitchaka and Zdun, Uwe",2022,10.1016/j.jss.2022.111433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135305434&doi=10.1016%2Fj.jss.2022.111433&partnerID=40&md5=32dd3c4553ebddce3f7b2a8dc625d20d
S20,snowballing,Evolution and anti-patterns visualized: Microprospect in microservice architecture,"ADAMS, Lauren et al.",2023,10.1007/978-3-031-66326-0_19,
S21,snowballing,Towards the detection of microservice patterns based on metrics.,"DANIEL, João et al. ",2023,10.1109/SEAA60479.2023.00029,
S22,DL,Detecting and Resolving Coupling-Related Infrastructure as Code Based Architecture Smells in Microservice Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",2023,10.1109/CLOUD60044.2023.00031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174302755&doi=10.1109%2FCLOUD60044.2023.00031&partnerID=40&md5=c14bcce16ca5f1ab642cef5a88458038
S23,snowballing,A Toolchain for Checking Domain-and Model-Driven Properties of Jolie Microservices,"GIALLORENZO, Saverio et al.",2024,10.1007/978-981-96-0808-9_13,
S24,snowballing,Detecting inconsistencies in microservice-based systems: An annotation-assisted scenario-oriented approach,"SUN, Chang-Ai et al. ",2024,10.1109/TSC.2024.3399652,
S25,DL,DOMICO: Checking conformance between domain models and implementations,"Zhong, Chenxing and Zhang, He and Huang, Huang and Chen, Zhikun and Li, Chao and Liu, Xiaodong and Li, Shanshan",2024,10.1002/spe.3272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174190323&doi=10.1002%2Fspe.3272&partnerID=40&md5=77117fcaf4d7e21b10d8ffbc4c176c19
S26,DL,Detection Strategies for Microservice Security Tactics,"Zdun, Uwe and Queval, Pierre Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelić, Marjan and Jovanović, A. S.",2024,10.1109/TDSC.2023.3276487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160216527&doi=10.1109%2FTDSC.2023.3276487&partnerID=40&md5=9c14d9de24c27f20d68ba619a574a65d
S27,DL,CATMA: Conformance Analysis Tool for Microservice Applications,"Cao, Clinton and Schneider, Simon and Díaz Ferreyra, Nicolás E. and Verwer, Sicco E. and Panichella, Annibale and Scandariato, Riccardo",2024,10.1145/3639478.3640022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188258629&doi=10.1145%2F3639478.3640022&partnerID=40&md5=1f4f18ceba149d26d74bb010a0657fb2
S28,snowballing,Semantic dependency in microservice architecture.,"ABDELFATTAH, Amr S. et al.",2025,10.1109/ICSR66718.2025.00011,
